date,velocity
1921,70.5356281202448
1923,58.712191441316776
1924,72.33729466179572
1925,65.01802433674504
1926,73.12552377372425
1927,83.48510638764213
1928,85.28677292919306
1929,76.50364853913226
1930,64.34239938366345
1930,55.33406667590878
1931,55.33406667590878
1933,69.29698237292851
1934,58.26177480592905
1936,58.14917064708211
1942,52.181150228194646
1946,44.97448406199091
1948,40.2451093904197
1949,34.72750560691996
1950,29.209901823420225
1952,32.02500579459357
1953,33.26365154190983
1954,34.95271392461383
1956,38.33083869002184
1957,40.13250523157277
1959,42.9476092027461
1959,42.9476092027461
1961,44.298859108909305
1963,47.11396308008264
1964,43.285421679286905
1966,61.189482935949314
1970,67.9457324667653
