date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,u_surf_local,altitude,velocity,thickness,obs_tau_b,obs_sigma,obs_u_def,obs_u_bed
1934.0,9.50211606508745,17.003922562811635,0.0857302166842754,0.08360058720288266,-0.010149120735353742,7.501806497724186,0.024625109625217356,0.05485039425927378,0.027165164061035557,-0.026009651898734176,0.0427998417721519,-0.0025083284476145654,1.571387816455696,-0.010206019786358426,0.07345146646752891,17.595082852669343,,,,,,,
1967.0,,,,,,,,,,,,,,,,,2661.7140000000004,47.11,203.87400000000025,0.08413218543345904,0.025112182615158796,7.272552828617357,39.83744717138264
1968.0,,,,,,,,,,,,,,,,,2662.5440000000003,45.34,204.70400000000018,0.08425683976538142,0.02520114157251667,7.359418097592412,37.98058190240759
1969.0,,,,,,,,,,,,,,,,,2661.7140000000004,41.24,203.87400000000025,0.08413218543345904,0.025112182615158796,7.272552828617357,33.967447171382645
1970.0,,,,,,,,,,,,,,,,,2664.414,48.22,206.57400000000007,0.08453768747706197,0.025401567175238636,7.559035486791761,40.660964513208235
1971.0,,,,,,,,,,,,,,,,,2662.1240000000003,45.89,204.2840000000001,0.08419376166970985,0.02515612619650424,7.315329854260728,38.574670145739276
1972.0,,,,,,,,,,,,,,,,,2663.3740000000003,43.68,205.5340000000001,0.0843814940973038,0.025290100529874546,7.447346438431665,36.232653561568334
1973.0,,,,,,,,,,,,,,,,,2664.824,42.01,206.98399999999992,0.08459926371331276,0.025445510756584078,7.603532915122233,34.40646708487777
1974.0,,,,,,,,,,,,,,,,,2664.204,43.34,206.36400000000003,0.08450614842922617,0.02537905948723242,7.536346489325163,35.80365351067484
1975.0,,,,,,,,,,,,,,,,,2663.994,42.12,206.154,0.08447460938139038,0.025356551799226204,7.513726652518755,34.60627334748124
1976.0,,,,,,,,,,,,,,,,,2664.414,40.46,206.57400000000007,0.08453768747706197,0.025401567175238636,7.559035486791761,32.90096451320824
1977.0,,,,,,,,,,,,,,,,,2665.454,37.91,207.61400000000003,0.08469388085682013,0.025513033820602726,7.672424235731826,30.237575764268172
1978.0,,,,,,,,,,,,,,,,,2667.534,65.96,209.69399999999996,0.08500626761633646,0.025735967111330905,7.904369550899777,58.055630449100214
1979.0,,,,,,,,,,,,,,,,,2667.324,69.07,209.48399999999992,0.08497472856850068,0.02571345942332469,7.880636356483083,61.18936364351691
1980.0,,,,,,,,,,,,,,,,,2667.324,54.99,209.48399999999992,0.08497472856850068,0.02571345942332469,7.880636356483083,47.10936364351692
1981.0,,,,,,,,,,,,,,,,,2665.664,47.22,207.82400000000007,0.08472541990465593,0.025535541508608938,7.695527822687893,39.524472177312106
1982.0,,,,,,,,,,,,,,,,,2664.6240000000003,51.66,206.7840000000001,0.08456922652489776,0.02542407486324485,7.581793785748598,44.078206214251395
1983.0,9.766434500405715,17.504128719378887,0.10187862638461662,0.08383729023393184,0.026126614628471895,7.7376942189731714,0.0398615513071823,0.07139383108765052,0.041229989137120525,-0.01912753164556962,0.054112025316455696,-0.003293973750701009,1.523143987341772,0.01490482785884889,0.10996390486240373,18.690875987420885,2666.074,47.67,208.23399999999992,0.08478699614090672,0.025579485089954383,7.740837112940947,39.92916288705906
1984.0,,,,,,,,,,,,,,,,,2667.534,50.77,209.69399999999996,0.08500626761633646,0.025735967111330905,7.904369550899777,42.86563044910022
1985.0,,,,,,,,,,,,,,,,,2668.1540000000005,42.79,210.3140000000003,0.08509938290042313,0.02580241838068261,7.974856168878861,34.81514383112114
1986.0,,,,,,,,,,,,,,,,,2666.6940000000004,45.78,208.85400000000027,0.08488011142499338,0.025645936359306093,7.809863808539311,37.97013619146069
1987.0,,,,,,,,,,,,,,,,,2664.824,42.68,206.98399999999992,0.08459926371331276,0.025445510756584078,7.603532915122233,35.07646708487777
1988.0,,,,,,,,,,,,,,,,,2667.324,45.12,209.48399999999992,0.08497472856850068,0.02571345942332469,7.880636356483083,37.23936364351692
1989.0,,,,,,,,,,,,,,,,,2666.074,41.02,208.23399999999992,0.08478699614090672,0.025579485089954383,7.740837112940947,33.27916288705906
1990.0,,,,,,,,,,,,,,,,,2663.784,35.25,205.94399999999996,0.0844430703335546,0.025334044111219988,7.491175835685729,27.75882416431427
1991.0,,,,,,,,,,,,,,,,,2662.744,,204.904,0.08428687695379643,0.0252225774658559,7.380508105342629,
1992.0,,,,,,,,,,,,,,,,,,39.02,,,,,
1993.0,,,,,,,,,,,,,,,,,2663.3740000000003,,205.5340000000001,0.0843814940973038,0.025290100529874546,7.447346438431665,
1994.0,,,,,,,,,,,,,,,,,,33.92,,,,,
1996.0,,,,,,,,,,,,,,,,,2661.5040000000004,32.81,203.66400000000021,0.08410064638562326,0.025089674927152583,7.250742355372478,25.559257644627525
1997.0,,,,,,,,,,,,,,,,,2662.1240000000003,33.14,204.2840000000001,0.08419376166970985,0.02515612619650424,7.315329854260728,25.824670145739272
1998.0,9.904346934612287,16.952126796114197,0.10552247435326068,0.08431036227126348,0.023530267019906702,7.04777986150191,0.047349612246839784,0.08106681635797952,0.04772078950034043,-0.023519936708860763,0.05690458860759494,-0.00379131962738844,1.443303164556962,0.01408613606353586,0.10784062929117019,18.298957392752516,2659.634,31.37,201.79399999999987,0.08381979867394265,0.024889249324430568,7.059479861016839,24.31052013898316
1999.0,,,,,,,,,,,,,,,,,2659.634,35.91,201.79399999999987,0.08381979867394265,0.024889249324430568,7.059479861016839,28.850520138983157
2000.0,,,,,,,,,,,,,,,,,2657.134,31.92,199.29399999999987,0.08344433381875474,0.02462130065768996,6.811955905464416,25.108044094535586
2001.0,,,,,,,,,,,,,,,,,2656.724,30.04,198.88400000000001,0.08338275758250394,0.024577357076344515,6.772240641875361,23.26775935812464
2002.0,,,,,,,,,,,,,,,,,2655.884,31.92,198.04399999999987,0.08325660139116078,0.024487326324319655,6.691636420289974,25.228363579710027
2003.0,9.623932839483865,16.22506647536138,0.10646755429398788,0.08345166913442584,0.024315694549338802,6.601133635877515,0.0562498401088666,0.08357128783876565,0.05069411946423643,-0.024463924050632913,0.058326265822784815,-0.004000436864785291,1.4069930379746833,0.015203705723218181,0.10776736368376463,17.61201644606247,2653.804,27.15,195.96399999999994,0.08294421463164445,0.024264393033591476,6.4964130045158575,20.65358699548414
2004.0,,,,,,,,,,,,,,,,,2652.5640000000003,23.38,194.72400000000016,0.08275798406347126,0.024131490494888157,6.382949125781062,16.997050874218935
2005.0,,,,,,,,,,,,,,,,,2650.8940000000002,24.6,193.0540000000001,0.08250717354020573,0.023952500785505423,6.233526840409915,18.366473159590086
2006.0,,,,,,,,,,,,,,,,,2650.2740000000003,22.39,192.4340000000002,0.08241405825611915,0.023886049516153765,6.179030573632028,16.210969426367974
2007.0,,,,,,,,,,,,,,,,,2648.4040000000005,21.61,190.5640000000003,0.0821332105444386,0.0236856239134318,6.017823970264547,15.592176029735452
2008.0,9.195735192977494,14.90166628265738,0.10744938499792492,0.08209630524189386,0.02449854964960852,5.705931089679886,0.06080793693090605,0.08972056620428083,0.0585937441593346,-0.029350316455696204,0.06223607594936709,-0.0047347702256249,1.3149838607594937,0.016587411174993086,0.10659485489150239,16.406952399658152,2646.114,20.17,188.2739999999999,0.08178928473708641,0.023440182934697358,5.826771214640418,14.343228785359583
2009.0,,,,,,,,,,,,,,,,,2643.204,18.95,185.36400000000003,0.0813522436456477,0.023128290686611305,5.593847451980995,13.356152548019004
2010.0,,,,,,,,,,,,,,,,,2642.994,18.4,185.154,0.08132070459781192,0.02310578299860509,5.577457083504834,12.822542916495165
2011.0,,,,,,,,,,,,,,,,,2638.2140000000004,17.51,180.37400000000025,0.08060281579469267,0.022593465147797073,5.219191196560953,12.290808803439049
2012.0,,,,,,,,,,,,,,,,,2635.304,17.4,177.46399999999994,0.0801657747032539,0.02228157289971097,5.014583280557468,12.385416719442532
2013.0,,,,,,,,,,,,,,,,,2633.6440000000002,17.06,175.8040000000001,0.07991646603940913,0.02210365498499522,4.90228530536438,12.157714694635619
2014.0,,,,,,,,,,,,,,,,,2631.7740000000003,17.84,173.9340000000002,0.07963561832772859,0.021903229382273258,4.779534644655429,13.06046535534457
2015.0,,,,,,,,,,,,,,,,,2628.2340000000004,15.62,170.39400000000023,0.0791039600927825,0.021523814070168557,4.557762226102955,11.062237773897044
2016.0,,,,,,,,,,,,,,,,,2626.1540000000005,15.62,168.3140000000003,0.07879157333326618,0.02130088077944038,4.433740598801361,11.186259401198638
2017.0,7.9720863514160465,12.225069190200797,0.10437654582828051,0.07787454521197033,0.020602214109344253,4.25298283878475,0.08430917594099883,0.10416008185636126,0.07440944882691561,-0.04420570522979397,0.06615261489698891,-0.006330312832572753,1.1311391442155307,0.014371210902309868,0.09847675932131458,13.825272081564442,2622.414,15.07,164.57400000000007,0.07822987790990503,0.020900029573996403,4.222020451703157,10.847979548296843
2018.0,,,,,,,,,,,,,,,,,2619.7140000000004,12.74,161.87400000000025,0.07782437586630211,0.020610645013916566,4.077882993883653,8.662117006116347
2019.0,,,,,,,,,,,,,,,,,2617.4240000000004,12.96,159.5840000000003,0.07748045005894999,0.02036520403518217,3.9611559233965323,8.998844076603469
2020.0,,,,,,,,,,,,,,,,,2614.934,12.85,157.09400000000005,0.0771064870631828,0.020098327163108498,3.8398111077042927,9.010188892295707
2021.0,,,,,,,,,,,,,,,,,2612.6440000000002,,154.8040000000001,0.07676256125583067,0.019852886184374106,3.733191271122122,
