date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,altitude,thickness,basal_stress,velocity
1904,93.00083742751603,151.18661095630048,0.48208706198335516,0.17013467429126544,0.24311124231473408,58.18577352878445,,0.2761562799002477,,-0.18653373320297284,0.20744988878707982,-0.07783028998040964,1.701443674698795,0.12221861549882024,2263.16953738,84.90953737999962,,
1949,39.84834045802602,73.99946238255211,0.26818082120944103,0.1288709856500877,0.46848297984424503,34.15112192452609,,0.15468033638594894,,-0.11551520697794322,0.10201669011894961,-0.023751168105982854,1.8633817708333333,0.2483329325961278,2262.09714211,83.8371421099996,,
1952,41.81300670443984,76.83634377310366,0.27172953053356047,0.13098122786667393,0.4567835623409579,35.02333706866382,,0.15567190275188075,,-0.11916322695437388,0.10473859113505424,-0.02517004713113568,1.8582693121693121,0.2443794365629374,2267.48900876,89.22900875999994,,
1979,43.20374993282219,76.5176296539222,0.29628900602086394,0.13281692351640875,0.49512538518090454,33.31387972110001,,0.17290299126986347,,-0.1234945653012,0.11591430320623845,-0.02868703334672014,1.878581142857143,0.26183420150481607,2258.61914009,80.35914008999998,,
1991,,,,,,,,,,,,,,,,82.97272112368393,0.2146,217.7859
1992,,,,,,,,,,,,,,,,83.19051954315759,0.2124,186.1493
1997,,,,,,,,,,,,,,,,84.2795116405259,0.2097,174.2521
1998,34.78570135616919,64.90407367623152,0.23235423686432727,0.12355270098484034,0.5066445009988408,30.118372320062328,,0.13195969032363994,,-0.10036685532981447,0.08430456985198792,-0.01718076614672462,1.8921506172839508,0.2711052902750836,2262.75731006,84.49731005999956,0.207,182.8428
1999,,,,,,,,,,,,,,,,84.70240546399964,0.2041,162.44
2000,,,,,,,,,,,,,,,,84.90750086799972,0.2027,158.6004
2001,,,,,,,,,,,,,,,,85.11259627199979,0.2006,156.4166
2002,,,,,,,,,,,,,,,,85.31769167599987,0.2004,155.7036
2003,30.98349661402267,56.42450715503883,0.22420677661036834,0.11891842102722001,0.5482515281042173,25.441010541016162,,0.12778594762401255,,-0.09930917415701433,0.07505879079303678,-0.015496134147061068,1.9004229166666669,0.29775013640767517,2263.78278708,85.52278707999994,0.2001,153.2213
2004,,,,,,,,,,,,,,,,82.77747126799996,0.1984,139.6403
2005,,,,,,,,,,,,,,,,80.03215545599997,0.1933,130.7908
2006,,,,,,,,,,,,,,,,77.28683964399997,0.1898,113.7893
2007,,,,,,,,,,,,,,,,74.54152383199998,0.1857,110.1806
2008,27.072204870030266,49.32549595316397,0.22257137889916712,0.11372056292412416,0.5392588133912299,22.253291083133707,,0.12170026894398048,,-0.095082817707523,0.07768256099877541,-0.01507532250653051,1.8870384615384617,0.2963545928904391,2250.05620802,71.79620802,0.1822,110.4142
2009,,,,,,,,,,,,,,,,76.50481106666666,0.18,95.7166
2010,,,,,,,,,,,,,,,,81.21341411333333,0.1756,92.2599
2011,27.92764823178731,52.582027941572036,0.22259999755741625,0.11497194692478321,0.5023734868052321,24.654379709784727,,0.12708729185703713,,-0.08866982819655662,0.08298258032139566,-0.014748447069203752,1.8435553846153845,0.2790675583384093,2264.18201716,85.92201716,0.1726,82.699
2012,,,,,,,,,,,,,,,,79.85297760249989,0.1687,81.7354
2013,,,,,,,,,,,,,,,,73.78393804499979,0.165,75.0789
2014,,,,,,,,,,,,,,,,67.71489848749968,0.1637,71.6267
2015,21.339191071998656,38.56864727764705,0.20120373997127863,0.10504357400658211,0.5147018940861413,17.229456205648397,,0.10868355527238271,,-0.08473108207353791,0.07384612564163759,-0.012632606541633146,1.828321052631579,0.2928658721685867,2239.90585893,61.64585892999958,0.163,71.9813
2016,,,,,,,,,,,,,,,,61.20661223249965,0.1585,66.5053
2017,,,,,,,,,,,,,,,,60.767365534999726,0.1558,60.7796
2018,,,,,,,,,,,,,,,,60.3281188374998,0.1528,56.203
2019,18.350650079349798,33.36026008212287,0.1814178113186211,0.09991186802266262,0.49409563377232696,15.009610002773073,,0.11274176717078387,,-0.07949236800475,0.06417638351824359,-0.010437644772483287,1.811431481481482,0.2824227069136281,2238.14887214,59.888872139999876,0.1503,52.0323
