glacier,stake,fit_type,CN,q,As,m
All,101,Lliboutry,0.11717818194052572,1.0,23053.537288606436,3.0
Arg,4,Lliboutry,0.12847409329883908,1.0,16097.115839482405,3.0
Arg,5,Lliboutry,0.11388553231569827,1.0,9579.355413226793,3.0
Cor,A4,Lliboutry,0.1074508413556419,1.0,5868.856196129915,3.0
Cor,B4,Lliboutry,0.08735071830691327,1.0,5439.6864315675775,3.0
Geb,sup,Tsai,0.0700644220865593,,1870.7144950511406,1.9545838250007188
Geb,ss,Tsai,0.05,,175.54434283364571,0.954828496025696
Gie,5,Lliboutry,0.11212428661389634,1.0,16289.758306758053,3.0
Gie,102,Lliboutry,0.17552302174740292,1.0,24129.231884047957,3.0
GB,inf,Lliboutry,0.13264123462716115,1.0,5745.129711796872,3.0
GB,sup,Lliboutry,0.14966497821930327,1.0,10183.57127077504,3.0
MDG,ech,Lliboutry,0.14313814168704364,1.0,11183.43718439973,3.0
MDG,trel,Lliboutry,0.1284251691515354,1.0,9747.016483766956,3.0
MDG,tac,Lliboutry,0.10835175368018207,1.0,18430.84064489578,3.0
StSo,B,Lliboutry,40.490655092062596,1.0,10678.294266987774,3.0
StSo,C,Lliboutry,0.09930498224149946,1.0,3931.793706252194,3.0
